หมายเลขงบ,ชื่องบ,จำนวนรวม,หมายเลขงบแผนงาน,แผนงาน,งบแผนงาน
29,สำนักงานเขตห้วยขวาง,352262000,,งานควบคุมอนามัย,6976600
29,สำนักงานเขตห้วยขวาง,352262000,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,35025800
30,สำนักงานเขตพระโขนง,281172800,,รายจ่ายประจำ,281172800
30,สำนักงานเขตพระโขนง,281172800,ก,แผนงานบริหารงานปกครองและทะเบียน,25858200
30,สำนักงานเขตพระโขนง,281172800,ข,แผนงานบริหารการคลัง,9878500
30,สำนักงานเขตพระโขนง,281172800,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,96871000
30,สำนักงานเขตพระโขนง,281172800,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,12435300
30,สำนักงานเขตพระโขนง,281172800,จ,แผนงานการโยธา: งานการโยธา,20711900
30,สำนักงานเขตพระโขนง,281172800,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,19442100
30,สำนักงานเขตพระโขนง,281172800,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,26240700
30,สำนักงานเขตพระโขนง,281172800,,งานควบคุมอนามัย,5749300
30,สำนักงานเขตพระโขนง,281172800,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,27036500
31,สำนักงานเขตบางกะปิ,524131000,,รายจ่ายประจำ,524131000
31,สำนักงานเขตบางกะปิ,524131000,ก,แผนงานบริหารงานปกครองและทะเบียน,29521600
31,สำนักงานเขตบางกะปิ,524131000,ข,แผนงานบริหารการคลัง,10745500
31,สำนักงานเขตบางกะปิ,524131000,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,165515700
31,สำนักงานเขตบางกะปิ,524131000,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,20357700
31,สำนักงานเขตบางกะปิ,524131000,จ,แผนงานการโยธา,91994600
31,สำนักงานเขตบางกะปิ,524131000,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,16877900
31,สำนักงานเขตบางกะปิ,524131000,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,28716000
31,สำนักงานเขตบางกะปิ,524131000,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,33836900
31,สำนักงานเขตบางกะปิ,524131000,,งานควบคุมอนามัย,7697000
31,สำนักงานเขตบางกะปิ,524131000,ญ,แผนงานบริหารการศึกษา,118868100
32,สำนักงานเขตบางเขน,421948600,,รายจ่ายประจำ,421948600
32,สำนักงานเขตบางเขน,421948600,ก,แผนงานบริหารงานปกครองและทะเบียน,33297700
32,สำนักงานเขตบางเขน,421948600,ข,แผนงานบริหารการคลัง,12320000
32,สำนักงานเขตบางเขน,421948600,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,137771300
32,สำนักงานเขตบางเขน,421948600,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,17262900
32,สำนักงานเขตบางเขน,421948600,จ,แผนงานการโยธา: งานการโยธา,83058900
32,สำนักงานเขตบางเขน,421948600,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,23986400
32,สำนักงานเขตบางเขน,421948600,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,25472300
32,สำนักงานเขตบางเขน,421948600,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,26576500
32,สำนักงานเขตบางเขน,421948600,,งานควบคุมอนามัย,7696000
32,สำนักงานเขตบางเขน,421948600,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,54506600
33,สำนักงานเขตมีนบุรี,509962100,,รายจ่ายประจำ,509962100
33,สำนักงานเขตมีนบุรี,509962100,ก,แผนงานบริหารงานปกครองและทะเบียน,28201300
