หมายเลขงบ,ชื่องบ,จำนวนรวม,หมายเลขงบแผนงาน,งบแผนงาน,ประเภทแผนงาน,แผนงาน
27,สำนักงานเขตดุสิต,401245000,ง,32906800,ทั่วไป/บริหาร/อื่นๆ,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ
27,สำนักงานเขตดุสิต,401245000,จ,13398600,โยธา/ก่อสร้าง/จราจร,แผนงานการโยธา: งานการโยธา
27,สำนักงานเขตดุสิต,401245000,,15364700,น้ำท่วม/ทางเท้า,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม
27,สำนักงานเขตดุสิต,401245000,ช,22129400,สิ่งแวดล้อม,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้
27,สำนักงานเขตดุสิต,401245000,ซ,24394700,พัฒนาชุมชน/อาชีพ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน
27,สำนักงานเขตดุสิต,401245000,,6467800,อนามัย/สาธารณะสุข,งานควบคุมอนามัย
27,สำนักงานเขตดุสิต,401245000,ญ,56991700,การศึกษา,แผนงานบริหารการศึกษา: งานบริหารการศึกษา
28,สำนักงานเขตพญาไท,335172500,,335172500,ทั่วไป/บริหาร/อื่นๆ,รายจ่ายประจำ
28,สำนักงานเขตพญาไท,335172500,ก,35574800,ทั่วไป/บริหาร/อื่นๆ,แผนงานบริหารงานปกครองและทะเบียน
28,สำนักงานเขตพญาไท,335172500,ข,10959000,การคลัง,แผนงานบริหารการคลัง
28,สำนักงานเขตพญาไท,335172500,ค,144999500,เทศกิจ/รักษาความสะอาด,แผนงานรักษาความสะอาด: งานรักษาความสะอาด
28,สำนักงานเขตพญาไท,335172500,ง,21563500,เทศกิจ/รักษาความสะอาด,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ
28,สำนักงานเขตพญาไท,335172500,จ,35281700,โยธา/ก่อสร้าง/จราจร,แผนงานการโยธา: งานการโยธา
28,สำนักงานเขตพญาไท,335172500,,17801600,น้ำท่วม/ทางเท้า,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม
28,สำนักงานเขตพญาไท,335172500,ช,22853500,สิ่งแวดล้อม,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้
28,สำนักงานเขตพญาไท,335172500,ซ,25509100,พัฒนาชุมชน/อาชีพ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน
28,สำนักงานเขตพญาไท,335172500,,6001400,อนามัย/สาธารณะสุข,งานควบคุมอนามัย
28,สำนักงานเขตพญาไท,335172500,ญ,14628400,การศึกษา,แผนงานบริหารการศึกษา: งานบริหารการศึกษา
29,สำนักงานเขตห้วยขวาง,352262000,,352262000,ทั่วไป/บริหาร/อื่นๆ,รายจ่ายประจำ
29,สำนักงานเขตห้วยขวาง,352262000,ก,29403800,ทั่วไป/บริหาร/อื่นๆ,แผนงานบริหารงานปกครองและทะเบียน
29,สำนักงานเขตห้วยขวาง,352262000,ข,12503600,การคลัง,แผนงานบริหารการคลัง
29,สำนักงานเขตห้วยขวาง,352262000,ค,141522600,เทศกิจ/รักษาความสะอาด,แผนงานรักษาความสะอาด: งานรักษาความสะอาด
29,สำนักงานเขตห้วยขวาง,352262000,ง,17420700,เทศกิจ/รักษาความสะอาด,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ
29,สำนักงานเขตห้วยขวาง,352262000,จ,44650400,โยธา/ก่อสร้าง/จราจร,แผนงานการโยธา: งานการโยธา
29,สำนักงานเขตห้วยขวาง,352262000,,17800800,น้ำท่วม/ทางเท้า,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม
29,สำนักงานเขตห้วยขวาง,352262000,ช,27137400,สิ่งแวดล้อม,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้
